id_principio,principio,categoría,zonas_sugeridas,transferencia_tactica
PRIN001,RONDOS,Técnica Aplicada,ZONA CENTRAL,"Ejercicios de una forma definida, mantener la posesión del balón y tendrán un rival."
PRIN002,RONDO POSICIONAL,Técnica Aplicada,ZONA CENTRAL,Con posiciones fijas el objetivo es mantener la posición y posesión.
PRIN003,RONDOS TRANSICIÓN,Técnica Aplicada,ZONA CENTRAL,Sin posiciones fijas el objetivo es mantener la presión y cambiar de espacios.
PRIN004,RONDOS DESCARGA,Técnica Aplicada,ZONA CENTRAL,"Con y sin posiciones fijas, trasladar el juego a otra zona tras cumplir pautas."
PRIN005,SISTEMA,Técnica Aplicada,ÁREA GRANDE,Forma en que los jugadores de un equipo cumplen con normas defensivas y ofensivas.
PRIN006,ESTRATEGIA,Técnica Aplicada,ÁREA GRANDE,Conjunto de maniobras para superar y obtener ventaja en cualquier situación.
PRIN007,PARTIDOS REDUCIDOS,Técnica Aplicada,ZONA CENTRAL,"Juego entre dos equipos en campo reducido, condicionado con variantes y objetivos."
PRIN008,PARTIDO,Técnica Aplicada,CAMPO COMPLETO,Juego entre dos equipos de once jugadores en campo completo con reglas de juego.
PRIN009,BALÓN PARADO,Técnica Aplicada,ÁREA GRANDE,"Estrategia ofensiva y defensiva de equipo con balón parado, apoyado en el reglamento."
PRIN010,Principio,Técnica Aplicada,Área sugerida,Teoría
PRIN011,Acción combinada,Técnica Aplicada,PASILLO INTERNO,"Jugada de organización y objetivo coordinado con balón, utilizándola en juego real."
PRIN012,Apoyo,Técnica Aplicada,PASILLO INTERNO,"Acercarse o alejarse del poseedor del balón, con diferentes direcciónes y distancias."
PRIN013,Ayuda permanente,Técnica Aplicada,BANDA,Soluciones favorables que ofrecen al poseedor del balón sus compañeros.
PRIN014,Cambio ritmo,Técnica Aplicada,PASILLO INTERNO,Distintas intensidades en el juego.
PRIN015,Circulación,Técnica Aplicada,ZONA CENTRAL,"Movilizar y mantener un equilibrio con el balón entre apoyos delante, atrás, a los lados."
