timestamp,usuario,accion,detalles
2025-08-11 18:05:27,admin,Eliminar día,Día Lunes del microciclo Semana 1
2025-08-11 18:06:55,admin,Eliminar día,Día Domingo del microciclo Semana 1
2025-08-11 18:07:08,admin,Eliminar día,Día Jueves del microciclo Semana 1
2025-08-11 18:07:13,admin,Eliminar día,Día Lunes del microciclo Semana 1
2025-08-11 18:07:17,admin,Eliminar día,Día Martes del microciclo Semana 1
2025-08-11 18:07:20,admin,Eliminar día,Día Miércoles del microciclo Semana 1
2025-08-11 18:08:51,admin,Eliminar día,Día Domingo del microciclo Semana 1
2025-08-11 18:08:56,admin,Eliminar día,Día Jueves del microciclo Semana 1
2025-08-11 18:08:59,admin,Eliminar día,Día Lunes del microciclo Semana 1
2025-08-11 18:09:03,admin,Eliminar día,Día Martes del microciclo Semana 1
2025-08-11 18:09:08,admin,Eliminar día,Día Miércoles del microciclo Semana 1
2025-08-11 18:09:46,admin,Eliminar día,Día Sábado del microciclo Semana 1
2025-08-11 18:09:50,admin,Eliminar día,Día Viernes del microciclo Semana 1
2025-08-11 18:13:48,admin,Eliminar día,Día Sábado del microciclo Semana 1
2025-08-11 18:13:52,admin,Eliminar día,Día Viernes del microciclo Semana 1
2025-08-14 22:03:46,admin,Eliminar día,Día Domingo del microciclo Semana 1
2025-08-14 22:03:51,admin,Eliminar día,Día Jueves del microciclo Semana 1
2025-08-14 22:03:55,admin,Eliminar día,Día Lunes del microciclo Semana 1
2025-08-14 22:03:59,admin,Eliminar día,Día Martes del microciclo Semana 1
2025-08-14 22:04:02,admin,Eliminar día,Día Miércoles del microciclo Semana 1
2025-08-14 22:04:05,admin,Eliminar día,Día Sábado del microciclo Semana 1
2025-08-14 22:04:08,admin,Eliminar día,Día Viernes del microciclo Semana 1
